,image,steering,is_flipped,random_shift,is_shift
0, IMG/left_2016_12_01_13_31_13_037.jpg,0.23,False,0,False
2,IMG/center_2016_12_01_13_31_13_037.jpg,0.0,False,0,False
3, IMG/left_2016_12_01_13_31_14_194.jpg,0.23,False,0,False
5,IMG/center_2016_12_01_13_31_14_194.jpg,0.0,False,0,False
6, IMG/left_2016_12_01_13_31_15_411.jpg,0.23,False,0,False
12, IMG/left_2016_12_01_13_32_43_357.jpg,0.23,False,0,False
15, IMG/left_2016_12_01_13_32_43_457.jpg,0.2917599,False,0,False
16, IMG/right_2016_12_01_13_32_43_457.jpg,-0.1682401,False,0,False
19, IMG/right_2016_12_01_13_32_43_558.jpg,-0.17780863000000002,False,0,False
22, IMG/right_2016_12_01_13_32_43_659.jpg,-0.17780863000000002,False,0,False
23,IMG/center_2016_12_01_13_32_43_659.jpg,0.05219137,False,0,False
24, IMG/left_2016_12_01_13_32_43_761.jpg,0.5979529,False,0,False
26,IMG/center_2016_12_01_13_32_43_761.jpg,0.3679529,False,0,False
27, IMG/left_2016_12_01_13_32_43_862.jpg,0.8084606,False,0,False
29,IMG/center_2016_12_01_13_32_43_862.jpg,0.5784606,False,0,False
30, IMG/left_2016_12_01_13_32_43_963.jpg,0.8084606,False,0,False
31, IMG/right_2016_12_01_13_32_43_963.jpg,0.3484606,False,0,False
32,IMG/center_2016_12_01_13_32_43_963.jpg,0.5784606,False,0,False
33, IMG/left_2016_12_01_13_32_44_064.jpg,0.3970138,False,0,False
34, IMG/right_2016_12_01_13_32_44_064.jpg,-0.06298620000000002,False,0,False
36, IMG/left_2016_12_01_13_32_44_368.jpg,0.23,False,0,False
39, IMG/left_2016_12_01_13_32_44_671.jpg,0.23,False,0,False
41,IMG/center_2016_12_01_13_32_44_671.jpg,0.0,False,0,False
42, IMG/left_2016_12_01_13_32_45_275.jpg,0.31089697,False,0,False
44,IMG/center_2016_12_01_13_32_45_275.jpg,0.08089697,False,0,False
45, IMG/left_2016_12_01_13_32_45_377.jpg,0.3204655,False,0,False
48, IMG/left_2016_12_01_13_32_45_477.jpg,0.3204655,False,0,False
49, IMG/right_2016_12_01_13_32_45_477.jpg,-0.1395345,False,0,False
53,IMG/center_2016_12_01_13_32_45_578.jpg,0.15744520000000004,False,0,False
54, IMG/left_2016_12_01_13_32_45_679.jpg,0.4065823,False,0,False
57, IMG/left_2016_12_01_13_32_45_780.jpg,0.4065823,False,0,False
58, IMG/right_2016_12_01_13_32_45_780.jpg,-0.05341770000000001,False,0,False
60, IMG/left_2016_12_01_13_32_46_185.jpg,0.1512541,False,0,False
61, IMG/right_2016_12_01_13_32_46_185.jpg,-0.3087459,False,0,False
63, IMG/left_2016_12_01_13_32_46_285.jpg,0.1512541,False,0,False
64, IMG/right_2016_12_01_13_32_46_285.jpg,-0.3087459,False,0,False
65,IMG/center_2016_12_01_13_32_46_285.jpg,-0.0787459,False,0,False
72, IMG/left_2016_12_01_13_32_46_991.jpg,0.28219137,False,0,False
78, IMG/left_2016_12_01_13_32_47_192.jpg,0.3204655,False,0,False
81, IMG/left_2016_12_01_13_32_47_293.jpg,0.61709,False,0,False
82, IMG/right_2016_12_01_13_32_47_293.jpg,0.15708999999999998,False,0,False
83,IMG/center_2016_12_01_13_32_47_293.jpg,0.38709,False,0,False
84, IMG/left_2016_12_01_13_32_47_394.jpg,0.5883844,False,0,False
85, IMG/right_2016_12_01_13_32_47_394.jpg,0.12838439999999998,False,0,False
88, IMG/right_2016_12_01_13_32_47_495.jpg,-0.17780863000000002,False,0,False
93, IMG/left_2016_12_01_13_32_48_098.jpg,0.19872589000000002,False,0,False
94, IMG/right_2016_12_01_13_32_48_098.jpg,-0.26127411,False,0,False
98,IMG/center_2016_12_01_13_32_48_200.jpg,-0.05975719,False,0,False
102, IMG/left_2016_12_01_13_32_48_402.jpg,0.17024281000000002,False,0,False
105, IMG/left_2016_12_01_13_32_48_503.jpg,0.17024281000000002,False,0,False
107,IMG/center_2016_12_01_13_32_48_503.jpg,-0.05975719,False,0,False
112, IMG/right_2016_12_01_13_32_48_705.jpg,-0.28975719,False,0,False
115, IMG/right_2016_12_01_13_32_48_805.jpg,-0.28975719,False,0,False
118, IMG/right_2016_12_01_13_32_48_906.jpg,-0.28975719,False,0,False
